1635553465.365014,0
1635553470.3706198,3
1635553475.3761172,2
1635553480.3816135,2
1635553485.3871272,2
1635553490.392618,1
1635553495.3981133,0
1635553500.40364,1
1635553505.40912,4
1635553510.410501,3
1635553515.4160001,1
1635553520.420499,1
1635553525.425978,1
1635553530.4314578,2
1635553535.4369404,1
1635553540.442441,4
1635553545.4479222,0
1635553550.4534218,4
1635553555.458904,5
1635553560.4643896,0
1635553565.4698799,6
1635553570.4753654,1
1635553575.4804833,3
1635553580.4859736,3
1635553585.4905586,4
1635553590.4961157,3
1635553595.5016625,1
1635553600.507229,3
1635553605.512784,3
1635553610.5182939,3
1635553615.5238252,2
1635553620.5293443,2
1635553625.5305045,0
1635553630.5360322,4
1635553635.5415556,1
1635553640.5470383,7
1635553645.552534,1
1635553650.5580065,2
1635553655.560494,1
1635553660.5659776,8
1635553665.571473,2
1635553670.5769544,2
1635553675.5824485,2
1635553680.5879388,2
1635553685.5934322,2
1635553690.5989325,3
1635553695.6044226,3
1635553700.6099205,2
1635553705.610484,1
1635553710.6159716,2
1635553715.6204789,0
1635553720.6259704,2
1635553725.6314378,5
1635553730.6369233,1
1635553735.642403,6
1635553740.6478834,4
1635553745.653363,3
1635553750.6588492,3
1635553755.664324,2
1635553760.669815,5
1635553765.6753073,3
